"mins","seconds","result","replicate","sample_id"
0,0,1.569937896,3,"1-320-185"
0,0,2.838544,0,"1-320-186"
0,0,2.636144,1,"1-320-186"
0,0,2.90272,2,"1-320-186"
0,0,2.792469,3,"1-320-186"
0,0,2.24694,0,"1-320-187"
0,0,2.248584,1,"1-320-187"
0,0,2.052984,2,"1-320-187"
0,0,2.130238,3,"1-320-187"
0,0,3.007974,0,"1-320-191"
0,0,2.860041,1,"1-320-191"
0,0,2.419529,2,"1-320-191"
0,0,2.432679,3,"1-320-191"
0,0,2.982032502,0,"1-320-191-dup"
0,0,2.947905699,1,"1-320-191-dup"
0,0,2.873151751,2,"1-320-191-dup"
0,0,3.006408789,3,"1-320-191-dup"
0,0,2.131989,0,"1-320-190"
0,0,1.938623,1,"1-320-190"
0,0,1.988204,2,"1-320-190"
0,0,2.211319,3,"1-320-190"
0,0,2.713366903,0,"1-320-190-dup"
0,0,2.767372396,1,"1-320-190-dup"
0,0,2.737914855,2,"1-320-190-dup"
0,0,2.549713893,3,"1-320-190-dup"
0,0,2.886839094,0,"1-320-189"
0,0,2.746097505,1,"1-320-189"
0,0,2.891748684,2,"1-320-189"
0,0,3.011215381,3,"1-320-189"
0,0,2.067534,0,"1-320-189-dup"
0,0,2.069186,1,"1-320-189-dup"
0,0,1.95515,2,"1-320-189-dup"
0,0,1.986551,3,"1-320-189-dup"
0,0,2.67,0,"1-320-43"
0,0,2.66,1,"1-320-43"
0,0,2.58,2,"1-320-43"
0,0,2.83,3,"1-320-43"
0,0,2.69,0,"1-320-48"
0,0,2.81,1,"1-320-48"
0,0,2.66,2,"1-320-48"
0,0,2.75,3,"1-320-48"
0,0,2.83,0,"1-320-50"
0,0,2.99,1,"1-320-50"
0,0,2.8,2,"1-320-50"
0,0,2.97,3,"1-320-50"
0,0,2.5,0,"1-320-73"
0,0,2.42,1,"1-320-73"
0,0,2.64,2,"1-320-73"
0,0,2.55,3,"1-320-73"
0,0,2.65981735,0,"1-320-77"
0,0,2.566827955,1,"1-320-77"
0,0,2.483458152,2,"1-320-77"
0,0,2.555605097,3,"1-320-77"
